<東京> <男>	10年履いても破れないとか優秀すぎるよね（おにパン）	次はワークマン行こ？ それかおにのパンツはこう？
<愛知> <男>	え！誰とのDM！？！？	dmで藍くんの尊さについて語ってます 楽しいこれ🫰🏻
<愛知> <男>	いや！！むめいくん可愛いからね😌 僕も丸眼鏡買って、それでお揃いチェキ撮りたいね〜🫶🫶	何何何それ…可愛いが過ぎるし嬉しすぎか😇😇😇 藍くんの可愛さと比べれる存在じゃないから🫠恐れ多い 沼ァ…
<愛知> <男>	あっあっ謝らせたかった訳じゃないのごめん〜！！！！😭 全然失態してないでしょ！お話しやすかったよ！むめいくん物知りだから、もっと色々お話し聞きたいなあって気持ちになった！！🫶 次があるのって本当に嬉しい🥲💕宿チェキ描いて待ってるー！！	推しからの褒め言葉はどんな栄養より🧠に効く… ごごごごごめんなさい😭😭😭 本当に自分の失態と藍くん最高のクソデカ感情処理できなくて… 藍くんはイメージ通りどころか軽く飛び越えてきたし、会った方が可愛いしかっこいいし雰囲気あるし最強やった！！！！ 次も絶対行く！！
<愛知> <男>	ひゃあ〜僕が初最推しとか光栄すぎる🙏🤍ありがとうございます！！ これからもそばにいて〜！！！！	いやもう… あんなになるのが初めてすぎてとんでもねぇやつだと自認しました😇 嬉しすぎる… どうして直接会った時にこれが言えないのか😂😂😂 いやもぅ…より沼にハマった… 好きです…2次でも3次でも最推しとか出来たことなかったから、藍くんが初最推しなん…
<愛知> <男>	ブルマンさんおはよーー！！ 今日もがんばろ〜！	おはよ〜
<愛知> <男>	むめいくんおはよー！今日もがんばろねえ	おはよー！！🌞
<愛知> <男>	やったー！ この僕むめいくんに似てないー？w皆んなに「丸眼鏡の僕むめいくんに似てないー！？🤍」って見せてたんだよ🤭	丸眼鏡とニット帽… 最高か… カジュアル可愛いのも似合うの最高🥺
<愛知> <男>	むめいくんも可愛かったーー！！！！ ツイートとかリプないから、「大丈夫かな…、やっぱ会って僕のイメージ違ったかなあ」とか凄いネガティヴくんしてて不安だったw本当に遠くから会いに来てくれてありがとうね😌🤍 不甲斐なさなんて感じないで…。また次一緒にもっと幸せになろ🫶🫶🫶	心配してくれてありがとう😭😭😭 もう本っっっっ当に可愛かった… 声も可愛いし優しいしあざとい見つめ方してくるしスタイル良いし… 藍くんはもちろんカイリくんあおばくんヴェルの皆さんは最高以外の感情しか無いのに自分の不甲斐なさで死んでた…
<愛知> <男>	全然そんな事ない〜！！！！なんで謝るの…かなしい😢 むめいくんに会えて僕は凄く嬉しかったし、幸せだよ！本当にめちゃくちゃ会いたかったんだから🫶🫶🫶 直接顔見れて、もっと好きになってくれた…？これからも僕の事好きでいて…！🥲💕	やっと会えたのに目もまともに見れんし挙動不審やし話したい事も全然出てこないし聞いてくれた事に対するうちの答えも最悪やし…帰り際も酷かったしとんでもないやつでごめんね… 藍くんは実際会ったらさらに沼るくらい最高でした…🥺🥺🥺文字数足らん…
<愛知> <男>	だいじょーぶ…！？	クソデカ感情が処理しきれなくて今日一日が終わってしまう…
<愛知> <男>	恥ずかし過ぎるもん……w	ほんとだ😂😂 なんかちょっとカスタマイズされてる🤏🏻
<愛知> <男>	谷っていう字間違えてるしね…。	次回マネさんに事情聴取しなきゃ👂
<愛知> <男>	今ヴェルいるから、帰ったら少しだけやってみるかあ…。	ほんの少しだけやってみたら？
<愛知> <男>	僕の名刺の練習台が……。こんな大多数の目に…。	いや私も頭の中「？？？」ってなりました 何事です？？？🤯
